的 de,di1,di2,di4
一 yi1,yi2,yi4
是 shi4,ti2
在 zai4
不 bu4,fou3,fou1,fu1,bu2
了 le,liao3,liao4
有 you3,you4,wei3
和 he2,he4,hu2,huo2,huo4,huo
人 ren2
这 zhe4,zhei4
中 zhong1,zhong4
大 da4,dai4,tai4
为 wei4,wei2
上 shang4,shang3
个 ge4,ge3,gan4
国 guo2
我 wo3
以 yi3,si4
要 yao4,yao1,yao3
他 ta1,tuo2
时 shi2
来 lai2
用 yong4
们 men,men2
生 sheng1
到 dao4
作 zuo4,zuo1,zuo2
地 di4,de
于 yu2,wei2,yu1,xu1
出 chu1
就 jiu4
分 fen1,fen4,fen2
对 dui4
成 cheng2
会 hui4,kuai4
可 ke3,ke4,ge1
主 zhu3,zhu4
发 fa1,fa4
年 nian2,ning4
动 dong4
同 tong2,tong4
工 gong1
也 ye3,yi2
能 neng2,tai2,nai2,nai4,xiong2
下 xia4
过 guo4,guo1
子 zi,zi3
说 shuo1,shui4,yue4
产 chan3
种 zhong3,chong2,zhong4
面 mian4
而 er2,neng2
方 fang1,fang2,fang3,pang2,wang3,feng1
后 hou4
多 duo1
定 ding4
行 xing2,hang2,heng2,xing4,hang4
学 xue2
法 fa3
所 suo3
民 min2
得 de2,de,dei3
经 jing1,jing4
十 shi2
三 san1
之 zhi1,zhu1,zhi4
进 jin4
着 zhe,zhao1,zhao2,zhuo2
等 deng3
部 bu4,pou3
度 du4,duo2,zhai2
家 jia1,jia,jia4,jie,gu1
电 dian4
力 li4
里 li3,li
如 ru2
水 shui3
化 hua4,hua1,huo4
高 gao1,gao4
自 zi4
二 er4
理 li3
起 qi3
小 xiao3
物 wu4
现 xian4
实 shi2
加 jia1
量 liang4,liang2
都 dou1,du1
两 liang3
体 ti3,ti1,ben4,cui4
制 zhi4
机 ji1,wei4
当 dang1,dang4
使 shi3
点 dian3
从 cong2,zong4
业 ye4
本 ben3,ben1
去 qu4,qu1
把 ba3,ba4,pa2
性 xing4
好 hao3,hao4
应 ying1,ying4
开 kai1
它 ta1,tuo2,yi2
合 he2,ge3
还 hai2,huan2,fu2
因 yin1
由 you2,yao1
其 qi2,ji1,ji4
些 xie1,suo4,suo1
然 ran2
前 qian2,jian3
外 wai4
天 tian1
政 zheng4,zheng1
四 si4
日 ri4
那 na4,na1,nuo2,nuo4,nei4,na3,nei3,ne2,nai3,ne4
社 she4
义 yi4
事 shi4,zi4
平 ping2,pian2,bing4,beng1
形 xing2
相 xiang1,xiang4
全 quan2
表 biao3
间 jian1,jian4
样 yang4,yang2
与 yu3,yu4,yu2
关 guan1
各 ge4,ge3
重 zhong4,chong2,tong2
新 xin1
线 xian4
内 nei4,na4,rui4
数 shu4,shu3,shuo4
正 zheng4,zheng1
心 xin1
反 fan3,fan4
你 ni3
明 ming2,meng4
看 kan4,kan1
原 yuan2
又 you4
么 me,yao1,mo2,ma
利 li4
比 bi3,bi4,pi2,pi3
或 huo4,yu4
但 dan4,tan3,yan4
质 zhi4
气 qi4,qi3
第 di4
向 xiang4
道 dao4,dao3
命 ming4
此 ci3
变 bian4
条 tiao2
只 zhi3,zhi1
没 mei2,mo4,me
结 jie2,jie1
解 jie3,jie4,xie4
问 wen4
意 yi4,yi1
建 jian4
月 yue4,ru4
公 gong1
无 wu2,mo2
系 xi4,ji4
军 jun1
很 hen3
情 qing2
者 zhe3
最 zui4,cuo1
立 li4,wei4
代 dai4
想 xiang3
已 yi3,si4
通 tong1,tong4
并 bing4,bing1
提 ti2,di1,chi2,shi2,di3
直 zhi2
题 ti2
党 dang3
程 cheng2
展 zhan3
五 wu3
果 guo3,luo3,guan4
料 liao4,liao2
象 xiang4
员 yuan2,yun4,yun2
革 ge2,ji2
位 wei4,li4
入 ru4
常 chang2
文 wen2
总 zong3
次 ci4,zi1,ci2
品 pin3
式 shi4,te4
活 huo2,guo1
设 she4
及 ji2
管 guan3
特 te4
件 jian4,mou2
长 zhang3,chang2
求 qiu2
老 lao3
头 tou2,tou
基 ji1
资 zi1
边 bian1,bian
流 liu2
路 lu4,luo4
级 ji2
少 shao3,shao4
图 tu2
山 shan1
统 tong3
接 jie1,xie2,sha4,cha1
知 zhi1,zhi4
较 jiao4
将 jiang1,jiang4,qiang1
组 zu3
见 jian4,xian4
计 ji4
别 bie2,bie4
她 ta1,jie3,chi2
手 shou3
角 jiao3,jue2,lu4,gu3
期 qi1,ji1
根 gen1
论 lun4,lun2
运 yun4,yun3
农 nong2
指 zhi3,zhi1,zhi2
几 ji3,ji1
九 jiu3,jiu1
区 qu1,ou1
强 qiang2,jiang4,qiang3
放 fang4,fang3,fang1
决 jue2
西 xi1
被 bei4,bi4,pi1,pi4
干 gan4,gan1,an4
做 zuo4
必 bi4
战 zhan4
先 xian1
回 hui2
则 ze2
任 ren4,ren2,lin4
取 qu3,qu1
据 ju4,ju1
处 chu4,chu3
队 dui4
南 nan2,na1
给 gei3,ji3
色 se4,shai3
光 guang1,guang4
门 men2
即 ji2
保 bao3
治 zhi4,chi2
北 bei3,bei4
造 zao4,cao4,cao1
百 bai3,bo2,mo4
规 gui1
热 re4
领 ling3
七 qi1,qi2
海 hai3
口 kou3
东 dong1
导 dao3
器 qi4
压 ya1,ya4
志 zhi4
世 shi4
金 jin1,jin4
增 zeng1,zeng4,ceng2
争 zheng1
济 ji4,ji3
阶 jie1
油 you2,you4
思 si1,sai1
术 shu4,zhu2,shu2
极 ji2
交 jiao1
受 shou4,dao4
联 lian2
什 shen2,shi2
认 ren4
六 liu4,lu4
共 gong4,gong1,gong3,hong2
权 quan2
收 shou1
证 zheng4
改 gai3
清 qing1,qing4
美 mei3
再 zai4
采 cai3,cai4
转 zhuan3,zhuan4,zhuai3
更 geng4,geng1
单 dan1,chan2,shan4
风 feng1
切 qie4,qie1,qi4
打 da3,da2
白 bai2,bo2
教 jiao4,jiao1
速 su4
花 hua1
带 dai4
安 an1
场 chang3,chang2
身 shen1,juan1
车 che1,ju1
例 li4,lie4
真 zhen1
务 wu4
具 ju4
万 wan4,mo4
每 mei3
目 mu4
至 zhi4,die2
达 da2,ti4,ta4
走 zou3
积 ji1,zhi3
示 shi4,qi2,zhi4,shi2
议 yi4
声 sheng1,qing4
报 bao4
斗 dou4,dou3,zhu3
完 wan2,kuan1
类 lei4
八 ba1,ba2
离 li2,chi1
华 hua2,hua4,hua1
名 ming2,ming4
确 que4
才 cai2,zai1
科 ke1,ke4
张 zhang1
信 xin4,shen1
马 ma3
节 jie2,jie1
话 hua4
米 mi3
整 zheng3
空 kong1,kong4,kong3
元 yuan2
况 kuang4
今 jin1
集 ji2
温 wen1,yun4
传 chuan2,zhuan4
土 tu3,du4,cha3,tu2
许 xu3,hu3
步 bu4
群 qun2
广 guang3,yan3,an1
石 shi2,dan4
记 ji4
需 xu1,nuo4,ru2,ruan3
段 duan4
研 yan2,yan4,xing2
界 jie4
拉 la1,la2,la3,la4,la
林 lin2
律 lv4
叫 jiao4
且 qie3,ju1,cu2
究 jiu1,jiu4
观 guan1,guan4
越 yue4,huo2
织 zhi1
装 zhuang1
影 ying3
算 suan4
低 di1
持 chi2
音 yin1
众 zhong4,yin2
书 shu1
布 bu4
复 fu4
容 rong2,yong3
儿 er2,er,ren2
须 xu1
际 ji4
商 shang1
非 fei1,fei3
验 yan4
连 lian2
断 duan4
深 shen1
难 nan2,nan4
近 jin4
矿 kuang4
千 qian1
周 zhou1
委 wei3,wei1,wei4
素 su4
技 ji4,qi2
备 bei4
半 ban4,pan4
办 ban4
青 qing1,jing1
省 sheng3,xing3,xian3
列 lie4,li4
习 xi2
响 xiang3
约 yue1,yao1
支 zhi1,zhi4,qi2
般 ban1,pan2,ban3,bo1
史 shi3
感 gan3,han4
劳 lao2
便 bian4,pian2,bian1
团 tuan2,qiu2
往 wang3,wang4
酸 suan1
历 li4
市 shi4,fu2
克 ke4
何 he2,he4
除 chu2,zhu4,shu1
消 xiao1
构 gou4
府 fu3
称 cheng1,chen4,cheng4
太 tai4,ta1
准 zhun3
精 jing1,qing2,jing4
值 zhi2
号 hao4,hao2,xiao1
率 lv4,shuai4,lve4
族 zu2,sou3,cou4,zou4
维 wei2
划 hua4,hua2,guo4,guo3,huai
选 xuan3
标 biao1
写 xie3,xie4
存 cun2
候 hou4
毛 mao2,mao4
亲 qin1,qing4
快 kuai4
效 xiao4
斯 si1,shi3
院 yuan4
查 cha2,zha1,chai2
江 jiang1
型 xing2
眼 yan3,wen3
王 wang2,wang4,yu4
按 an4
格 ge2,luo4,he4,ge1
养 yang3
易 yi4
置 zhi4
派 pai4,mai4,bai4,pa1
层 ceng2
片 pian4,pian1,pan4
始 shi3
却 que4
专 zhuan1
状 zhuang4
育 yu4,zhou4,yo1
厂 chang3,han3,yan2,an1
京 jing1
识 shi2,shi4,zhi4
适 shi4,kuo4
属 shu3,zhu3
圆 yuan2
包 bao1,pao2,fu2
火 huo3,huo1
住 zhu4
调 diao4,tiao2
满 man3
县 xian4
局 ju2
照 zhao4
参 can1,cen1,shen1
红 hong2,gong1
细 xi4
引 yin3
听 ting1,yin3,yi2
该 gai1
铁 tie3
价 jia4,jie,jie4
严 yan2
首 shou3
底 di3,de
液 ye4,shi4
官 guan1
德 de2
随 sui2
病 bing4
苏 su1
失 shi1,yi4
尔 er3
死 si3
讲 jiang3
配 pei4
女 nv3,nv4,ru3
黄 huang2
推 tui1
显 xian3
谈 tan2
罪 zui4
神 shen2,shen1
艺 yi4
呢 ne,ni2,ni3,ni1
席 xi2
含 han2,han4
企 qi3
望 wang4
密 mi4
批 pi1,pi2
营 ying2
项 xiang4
防 fang2
举 ju3
球 qiu2
英 ying1,yang1
氧 yang3
势 shi4
告 gao4,ju1,gu4
李 li3
台 tai2,tai1,yi2,si4
落 luo4,la4,lao4,luo1
木 mu4
帮 bang1
轮 lun2
破 po4
亚 ya4
师 shi1
围 wei2
注 zhu4,zhou4
远 yuan3
字 zi4
材 cai2
排 pai2,pai3,bai4
供 gong1,gong4
河 he2
态 tai4
封 feng1,bian3
另 ling4
施 shi1,yi4,shi3
减 jian3
树 shu4
溶 rong2
怎 zen3
止 zhi3
案 an4
言 yan2,yan4,yin2
士 shi4
均 jun1,yun4
武 wu3
固 gu4
叶 ye4,xie2
鱼 yu2
波 bo1,bei1,bi4
视 shi4
仅 jin3,fu4,nu2,jin4
费 fei4
紧 jin3
爱 ai4
左 zuo3
章 zhang1,zhang4
早 zao3
朝 chao2,zhao1,zhu1
害 hai4,he2
续 xu4
轻 qing1
服 fu2,fu4,bi4,bo2
试 shi4
食 shi2,si4,yi4
充 chong1
兵 bing1
源 yuan2
判 pan4
护 hu4
司 si1,ci2,si4
足 zu2,ju4
某 mou3,mei2
练 lian4
差 cha4,cha1,chai1,ci1,chai4,cuo1,jie1
致 zhi4,zhui4
板 ban3
田 tian2
降 jiang4,xiang2,xiang4
黑 hei1
犯 fan4
负 fu4
击 ji1
范 fan4
继 ji4
兴 xing1,xing4
似 shi4,si4
余 yu2,tu2,xu2,yu4
坚 jian1
曲 qu1,qu3
输 shu1
修 xiu1
故 gu4
城 cheng2
夫 fu1,fu2
够 gou4
送 song4
笔 bi3
船 chuan2
占 zhan4,zhan1,tie1
右 you4
财 cai2
吃 chi1,qi1
富 fu4
春 chun1,chun3
职 zhi2
觉 jue2,jiao4
汉 han4
画 hua4
功 gong1
巴 ba1
跟 gen1
虽 sui1
杂 za2,duo3
飞 fei1
检 jian3
吸 xi1
助 zhu4,chu2
升 sheng1
阳 yang2
互 hu4
初 chu1
创 chuang4,chuang1
抗 kang4,gang1
考 kao3
投 tou2,dou4
坏 huai4,pi1,pei2
策 ce4
古 gu3,gu4,ku1
径 jing4
换 huan4
未 wei4
跑 pao3,pao2,bo2
留 liu2,liu4,liu3
钢 gang1,gang4
曾 ceng2,zeng1
端 duan1
责 ze2
站 zhan4,zhan1
简 jian3
述 shu4
钱 qian2
副 fu4,pi4
尽 jin3,jin4
帝 di4
射 she4,ye4,yi4
草 cao3,zao4
冲 chong1,chong4
承 cheng2,zheng3,zheng4
独 du2
令 ling4,ling2,ling3,lian2
限 xian4,wen3
阿 a1,e1,e3,a3,a4,a
宣 xuan1
环 huan2
双 shuang1
请 qing3
超 chao1,chao3,chao4,tiao4
微 wei1
让 rang4
控 kong4,kong1,qiang1
州 zhou1
良 liang2,liang3
轴 zhou2,zhou4
找 zhao3,hua2
否 fou3,pi3
纪 ji4,ji3
益 yi4
依 yi1,yi3
优 you1,you2
顶 ding3
础 chu3
载 zai4,zai3
倒 dao4,dao3
房 fang2,pang2
突 tu1
坐 zuo4
粉 fen3
敌 di2,hua2
略 lve4
客 ke4,qia4
袁 yuan2
冷 leng3,ling2,ling3
胜 sheng4,xing1,qing4,sheng1
绝 jue2
析 xi1,si1
块 kuai4,yue2
剂 ji4
测 ce4
丝 si1
协 xie2
诉 su4
念 nian4
陈 chen2
仍 reng2
罗 luo2,luo1
盐 yan2
友 you3
洋 yang2,xiang2,yang3
错 cuo4
苦 ku3,gu3,hu4
夜 ye4
刑 xing2
移 yi2,chi3,yi4
频 pin2
逐 zhu2,di2,zhou4,tun2
靠 kao4
混 hun4,gun3,hun2,kun1
母 mu3,mu2,wu3,wu2
短 duan3
皮 pi2
终 zhong1
聚 ju4
汽 qi4,gai4,yi3
村 cun1
云 yun2
哪 na3,na,ne2,nuo2,nai3,na4,nie4,nei3
既 ji4,xi4
距 ju4
卫 wei4
停 ting2
烈 lie4
央 yang1,ying1
察 cha2,cui4
烧 shao1
迅 xun4
境 jing4
若 ruo4,re2,re4,re3
印 yin4,yi4
洲 zhou1
刻 ke4,kei1
括 kuo4,gua1
激 ji1,jiao4,jiao1
孔 kong3
搞 gao3,qiao1,kao4
甚 shen4,shen2
室 shi4
待 dai4,dai1
核 he2,hu2,gai1,kai4
校 xiao4,jiao4,jiao3,qiao1
散 san4,san3,san1
侵 qin1,qin3
吧 ba,ba1,pa1
甲 jia3
游 you2,liu2
久 jiu3
菜 cai4
味 wei4,mei4
旧 jiu4
模 mo2,mu2
湖 hu2
货 huo4
损 sun3
预 yu4
阻 zu3,zhu4
毫 hao2
普 pu3
稳 wen3
乙 yi3,yi4,jue2
妈 ma1
植 zhi2
息 xi1
扩 kuo4
银 yin2
语 yu3,yu4
挥 hui1
酒 jiu3
守 shou3,shou4
拿 na2
序 xu4
纸 zhi3
医 yi1,yi4
缺 que1,kui3
雨 yu3,yu4
吗 ma,ma2,ma3
针 zhen1
刘 liu2
啊 a,a1,a2,a3,a4,e4
急 ji2
唱 chang4
误 wu4
训 xun4
愿 yuan4
审 shen3
附 fu4,bu4,fu1
获 huo4
茶 cha2
鲜 xian1,xian3
粮 liang2
斤 jin1
孩 hai2
脱 tuo1,tui4
硫 liu2,chu4
肥 fei2,bi3
善 shan4
龙 long2
演 yan3,yan4
父 fu4,fu3
渐 jian4,jian1
血 xue4,xie3
欢 huan1
械 xie4
掌 zhang3
歌 ge1
沙 sha1,sha4,suo1
刚 gang1
攻 gong1
谓 wei4
盾 dun4,shun3,yun3
讨 tao3
晚 wan3
粒 li4
乱 luan4
燃 ran2
矛 mao2
乎 hu1
杀 sha1
药 yao4
宁 ning2,ning4,zhu4
鲁 lu3
贵 gui4
钟 zhong1
煤 mei2
读 du2,dou4
班 ban1
伯 bo2,bai3,mo4,ba4
香 xiang1
介 jie4,ge4
迫 po4,pai3
